Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11 14:30:00+00:00,271.9649963378906,272.6449890136719,271.0299987792969,272.55499267578125,3774316,389.8500061035156,391.7900085449219,389.07000732421875,390.4599914550781,1772398,87.30999755859375,87.33999633789062,86.51210021972656,86.58499908447266,3179028,292.0450134277344,293.5899963378906,291.75,293.3699035644531,4290117,602.60498046875,603.1900024414062,600.0999755859375,602.397216796875,2157839
2026-05-11 15:30:00+00:00,272.55999755859375,273.07000732421875,271.9200134277344,272.2699890136719,3294209,390.45989990234375,391.6300048828125,390.2300109863281,390.8949890136719,1276780,86.58999633789062,86.66000366210938,86.30000305175781,86.38500213623047,3140664,293.3699951171875,293.8800048828125,291.8214111328125,292.4150085449219,3777650,602.4349975585938,604.6099853515625,601.780029296875,602.7050170898438,1270209
2026-05-11 16:30:00+00:00,272.2699890136719,272.42999267578125,270.8500061035156,270.8599853515625,3011980,390.8699951171875,391.3500061035156,389.05999755859375,389.8900146484375,1267195,86.38999938964844,86.40499877929688,85.27999877929688,85.30999755859375,4984803,292.4150085449219,292.7049865722656,290.6300048828125,291.94000244140625,3556324,602.7050170898438,604.3900146484375,599.8800048828125,601.3099975585938,1541867
2026-05-11 17:30:00+00:00,270.8500061035156,271.2200012207031,270.04998779296875,270.1050109863281,2423566,389.8900146484375,390.6625061035156,389.1600036621094,389.17010498046875,1157997,85.30500030517578,85.52999877929688,85.12000274658203,85.26499938964844,4121654,291.9399108886719,292.9800109863281,291.7250061035156,291.739990234375,2587000,601.3099975585938,603.4149780273438,600.0999755859375,600.5499877929688,1135101
2026-05-11 18:30:00+00:00,270.1000061035156,270.17999267578125,269.25,269.9100036621094,3225118,389.1700134277344,389.20001220703125,386.9100036621094,387.79998779296875,1766866,85.26499938964844,85.5,85.19999694824219,85.43000030517578,4289416,291.739990234375,292.20989990234375,290.8599853515625,292.1499938964844,2874040,600.5499877929688,600.6900024414062,598.6400146484375,599.5,1796534
2026-05-11 19:30:00+00:00,269.9100036621094,269.94000244140625,268.489990234375,268.989990234375,3805095,387.7900085449219,388.0899963378906,386.32000732421875,386.739990234375,2001345,85.42500305175781,85.46009826660156,85.0999984741211,85.44999694824219,5746679,292.1459045410156,292.79998779296875,291.80999755859375,292.739990234375,3307424,599.489990234375,599.9000244140625,598.080078125,598.8499755859375,1511849
2026-05-12 13:30:00+00:00,266.2699890136719,267.6499938964844,264.04998779296875,264.81500244140625,8162444,385.1000061035156,386.32000732421875,382.0799865722656,383.79400634765625,3501271,85.90499877929688,88.2750015258789,85.80999755859375,88.2041015625,8394008,292.7550048828125,294.80999755859375,292.614990234375,293.9399108886719,11112742,594.4149780273438,603.7449951171875,592.6500244140625,602.02001953125,3425715
2026-05-12 14:30:00+00:00,264.82000732421875,265.3299865722656,263.70001220703125,264.5199890136719,4542475,383.7799987792969,385.44000244140625,383.3103942871094,385.1700134277344,1682174,88.20500183105469,89.0,87.91010284423828,88.83499908447266,7946322,293.9100036621094,294.89990234375,293.25,294.3699951171875,4316772,602.1300048828125,603.5,600.0,601.8900146484375,1261256
2026-05-12 15:30:00+00:00,264.57000732421875,264.9595031738281,263.25,263.31201171875,2949590,385.11749267578125,385.75,382.55999755859375,383.2300109863281,1100193,88.83999633789062,88.97000122070312,88.38999938964844,88.82499694824219,3719105,294.3599853515625,294.7799987792969,293.4599914550781,293.9599914550781,2815308,601.8300170898438,601.8300170898438,599.2899780273438,600.0399780273438,797424
2026-05-12 16:30:00+00:00,263.29998779296875,264.5199890136719,262.6300048828125,264.17999267578125,3653353,383.20001220703125,383.21990966796875,379.7200012207031,381.1700134277344,2025409,88.82499694824219,89.16100311279297,88.0,88.22000122070312,4060904,293.95001220703125,294.5899963378906,293.3800048828125,293.8999938964844,3097799,600.2000122070312,601.5399780273438,596.527099609375,598.7899780273438,1185117
2026-05-12 17:30:00+00:00,264.17498779296875,264.75,263.6099853515625,264.42999267578125,2247692,381.17999267578125,382.989990234375,380.864990234375,382.67498779296875,988320,88.20999908447266,88.20999908447266,87.3280029296875,87.36000061035156,3559935,293.8999938964844,294.6600036621094,293.69000244140625,294.6499938964844,3363937,598.7000122070312,600.8499755859375,598.4000244140625,600.4249877929688,758781
2026-05-12 18:30:00+00:00,264.4100036621094,265.2699890136719,263.9849853515625,265.19000244140625,2933444,382.6600036621094,383.1000061035156,381.1400146484375,383.0,1276018,87.36499786376953,87.7699966430664,87.29000091552734,87.63500213623047,3055701,294.6199951171875,294.9200134277344,294.0,294.8006896972656,3451447,600.3699951171875,602.4400024414062,598.969970703125,602.4393920898438,978506
2026-05-12 19:30:00+00:00,265.18499755859375,266.5,265.1400146484375,265.8900146484375,4791857,383.0,384.3500061035156,382.65008544921875,383.9700012207031,1837727,87.63990020751953,87.79000091552734,87.50499725341797,87.68000030517578,3920840,294.79998779296875,295.2699890136719,294.3599853515625,294.8699951171875,4049102,602.4400024414062,603.4000244140625,601.1400756835938,603.1300048828125,1111125
2026-05-13 13:30:00+00:00,264.45001220703125,266.24560546875,263.20001220703125,265.4849853515625,7645908,381.9049987792969,391.6199951171875,381.5799865722656,391.05999755859375,3725028,86.4800033569336,87.3550033569336,86.27999877929688,87.2699966430664,6638372,293.6300048828125,297.5097961425781,293.55999755859375,295.1499938964844,10759628,598.8099975585938,609.375,596.6600952148438,606.3499755859375,3272049
2026-05-13 14:30:00+00:00,265.4700012207031,267.239990234375,264.7799987792969,267.1000061035156,3760676,391.03851318359375,394.1000061035156,389.7015075683594,393.9700012207031,2095466,87.2699966430664,87.29499816894531,86.80000305175781,87.0199966430664,2852999,295.1700134277344,297.25,295.1600036621094,296.94000244140625,4349742,606.2849731445312,606.9600219726562,602.9299926757812,606.4896240234375,1337473
2026-05-13 15:30:00+00:00,267.0199890136719,269.65948486328125,266.7950134277344,269.5,4522329,393.9100036621094,396.489990234375,393.3399963378906,396.1300048828125,1636792,87.0199966430664,87.55000305175781,86.84500122070312,87.55000305175781,2753173,296.93499755859375,298.54998779296875,296.7207946777344,298.40008544921875,4139107,606.4400024414062,612.6199951171875,605.5100708007812,612.5499877929688,1710811
2026-05-13 16:30:00+00:00,269.489990234375,270.39959716796875,268.80999755859375,269.5249938964844,4213431,396.0899963378906,398.25,395.5799865722656,397.55999755859375,1683938,87.55000305175781,87.94499969482422,87.55000305175781,87.83979797363281,2403164,298.3900146484375,300.3699951171875,298.33099365234375,300.125,6943795,612.5,616.6599731445312,611.4600219726562,615.510009765625,1892041
2026-05-13 17:30:00+00:00,269.5400085449219,270.3500061035156,269.010009765625,270.2699890136719,3599798,397.5899963378906,399.7900085449219,397.3500061035156,399.70001220703125,1550715,87.83000183105469,88.05000305175781,87.66999816894531,87.94000244140625,2636529,300.1099853515625,300.9200134277344,299.7099914550781,299.7149963378906,4870507,615.4400024414062,618.5,614.6799926757812,617.8800048828125,1297606
2026-05-13 18:30:00+00:00,270.260009765625,270.2900085449219,269.2799987792969,270.135009765625,2992960,399.7099914550781,399.92999267578125,397.7099914550781,399.19000244140625,1545673,87.94000244140625,88.62000274658203,87.8550033569336,88.08499908447266,4816904,299.7099914550781,299.7200012207031,298.614990234375,299.1499938964844,3364858,617.8699951171875,619.9000244140625,616.239990234375,616.614990234375,1622463
2026-05-13 19:30:00+00:00,270.135009765625,270.7200012207031,269.6000061035156,270.0799865722656,4236684,399.19000244140625,399.57000732421875,398.06500244140625,399.1000061035156,1998285,88.08499908447266,88.23500061035156,87.5,87.56999969482422,3126219,299.1499938964844,299.4800109863281,298.8500061035156,298.8800048828125,3870507,616.60009765625,617.4224853515625,615.3150024414062,616.5900268554688,1236664
2026-05-14 13:30:00+00:00,269.2796936035156,270.7799072265625,267.57501220703125,267.739990234375,6255864,393.92999267578125,397.54998779296875,392.7279968261719,393.05999755859375,3465026,87.62000274658203,88.5,87.48999786376953,87.69000244140625,5706479,299.82000732421875,300.3500061035156,297.0799865722656,297.93499755859375,7145581,616.125,623.1599731445312,615.0,621.9500122070312,2875167
2026-05-14 14:30:00+00:00,267.7049865722656,267.94000244140625,267.0299987792969,267.69000244140625,2886610,393.04998779296875,394.9700012207031,392.7799987792969,394.5899963378906,1323060,87.69999694824219,87.81999969482422,87.31999969482422,87.5,2438177,297.95001220703125,299.4200134277344,297.5799865722656,299.30499267578125,3084011,622.1300048828125,622.8499755859375,617.9201049804688,621.4910278320312,1156478
