Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 14:30:00+00:00,274.1099853515625,275.4700012207031,273.55999755859375,273.7099914550781,5186208,614.75,619.9500122070312,612.1201171875,612.7849731445312,2554077,389.8949890136719,394.5,389.2799987792969,392.3800048828125,2010602,286.1300048828125,286.3399963378906,283.8800048828125,284.739990234375,6691628,88.41000366210938,88.55000305175781,87.70999908447266,87.75499725341797,4294295
2026-05-06 15:30:00+00:00,273.7099914550781,275.9800109863281,272.5400085449219,275.5899963378906,4765319,612.7899780273438,614.9199829101562,611.760009765625,612.580078125,1878820,392.3999938964844,396.3800048828125,391.82000732421875,396.0400085449219,2104909,284.739990234375,286.3699951171875,284.6499938964844,286.260009765625,4527443,87.75969696044922,88.01000213623047,87.63999938964844,87.86499786376953,3118592
2026-05-06 16:30:00+00:00,275.614990234375,276.5799865722656,275.19500732421875,276.4200134277344,3188800,612.739990234375,613.97998046875,610.6099853515625,613.381591796875,1078783,396.05999755859375,396.260009765625,394.3900146484375,394.54998779296875,1955753,286.2550048828125,287.1300048828125,285.7099914550781,286.7349853515625,3689933,87.86499786376953,88.19000244140625,87.74500274658203,88.0199966430664,4413254
2026-05-06 17:30:00+00:00,276.4100036621094,277.7900085449219,276.2200012207031,276.29998779296875,4114314,613.3300170898438,614.219970703125,611.489990234375,614.1900024414062,1070400,394.510009765625,394.8800048828125,392.2799987792969,392.364990234375,1261196,286.7300109863281,287.8500061035156,286.57000732421875,287.17999267578125,3878452,88.01000213623047,88.13999938964844,87.83000183105469,88.09500122070312,2374237
2026-05-06 18:30:00+00:00,276.2799987792969,277.0799865722656,276.06048583984375,276.2349853515625,4616931,614.219970703125,615.3800048828125,612.1699829101562,612.6099853515625,1178964,392.3900146484375,394.239990234375,391.6300048828125,392.260009765625,2081596,287.1658935546875,287.8999938964844,286.6650085449219,287.760009765625,4158472,88.08999633789062,88.11000061035156,87.87000274658203,88.08499908447266,2596445
2026-05-06 19:30:00+00:00,276.2349853515625,276.7300109863281,274.9100036621094,274.9100036621094,4751569,612.5999755859375,613.719970703125,612.010009765625,612.5399780273438,1295656,392.30999755859375,395.9700012207031,392.05999755859375,394.989990234375,2603364,287.760009765625,288.0299987792969,287.0400085449219,287.5299987792969,5753679,88.0863037109375,88.3949966430664,87.97000122070312,88.22000122070312,3947739
2026-05-07 13:30:00+00:00,275.0,276.6300048828125,272.7900085449219,273.3450012207031,8420824,614.4949951171875,624.9500122070312,613.9500122070312,620.8599853515625,3440404,397.1700134277344,397.2799987792969,392.79998779296875,394.30999755859375,3597691,289.2699890136719,292.1300048828125,288.20001220703125,290.4700012207031,11895992,88.19999694824219,89.39910125732422,88.16999816894531,88.61000061035156,6269843
2026-05-07 14:30:00+00:00,273.3599853515625,273.9700012207031,272.1914978027344,273.31500244140625,4275726,620.8314819335938,624.9500122070312,619.6099853515625,621.27001953125,1624591,394.3500061035156,394.489990234375,392.69000244140625,393.8999938964844,1613041,290.4700012207031,291.3900146484375,289.9200134277344,290.2001037597656,4189077,88.5999984741211,89.1500015258789,88.43000030517578,88.58999633789062,3206936
2026-05-07 15:30:00+00:00,273.3399963378906,273.889892578125,271.3999938964844,272.5849914550781,4378086,621.3800048828125,623.3699951171875,616.2600708007812,619.8049926757812,1600955,393.9200134277344,394.2300109863281,390.30999755859375,391.9750061035156,1648634,290.20001220703125,290.739990234375,288.7799987792969,289.4100036621094,3696404,88.5999984741211,88.95999908447266,88.55500030517578,88.73500061035156,3012775
2026-05-07 16:30:00+00:00,272.5899963378906,273.0400085449219,271.18011474609375,271.4599914550781,2768340,619.85498046875,619.8599853515625,613.630126953125,614.9600219726562,1443660,391.989990234375,394.0,391.5899963378906,393.2799987792969,1392404,289.42498779296875,289.6549987792969,288.239990234375,288.7650146484375,3128156,88.73999786376953,88.88990020751953,88.3550033569336,88.3949966430664,2547526
